Current program,Year of study,Program level,Sex,Ethnicity,Age group,Preferred learning style,Used ChatGPT for learning purposes,"How often  ChatGPT is used for educational
purposes",ChatGPT usage purposes,ChatGPT usage hours per week,Satisfaction with the quality of responses by ChatGPT,"How helpful ChatGPT in improving the
understanding of course material","Improvement of marks
since using ChatGPT for personalized learning","Level of confidence in understanding of
subjects after using ChatGPT","Sample situations where
ChatGPT significantly aided learning","Used any features of ChatGPT that tailor
responses to  learning preferences or
styles","If yes, how effective are the tailored
responses in enhancing comprehension and
knowledge acquisition","Feel that personalized responses from
ChatGPT have improved grades or academic
performance","Improvements to suggest for ChatGPT
to better support learning","Think that integrating ChatGPT more deeply into
the curriculum would benefit students","Features that would like to be seen in ChatGPT to
enhance  personalized learning capabilities","Additional comments or suggestions regarding
the use of ChatGPT in learning process"
Accounting,Second,Bachelors,Female,Asian,25-34,Visual,Yes,Rarely,"Understanding concepts, Tutoring or extra help",Less than 1 hour,Neutral,Unhelpful,"Yes, slight improvement",Neutral,I used ChatGPT to further understand some concepts. It can translate complex accounting terms into more understandable language and provide examples of problems that help deepen my understanding.,Yes,Ineffective,Neutral,Avoid giving misleading information especially with references. Use more academic references to be exact. ,Agree,It would be great to see ChatGPT have a feature for uploading or taking images. This will greatly improve its usability for those who find it difficult to communicate vocally and would much rather communicate visually.,"Although ChatGPT can be helpful in explaining concepts, it's crucial to exercise caution when it comes to the results. It occasionally produces inaccurate or misleading information, particularly when working with numbers, performing computations, or even providing specific references."
Business,Second,Diploma,Female,Asian,45-54,"Visual, Auditory",Yes,Weekly,"Understanding concepts, Homework assistance, Project research, Exam Preparation",1 to 3 hours,Very satisfied,Very Helpful,"Yes, slight improvement",Confident,,Yes,Very effective,Agree,,Strongly Agree,remove limitations,
Marketing,Second,Postgraduate,Female,Asian,25-34,"Visual, Auditory",Yes,Weekly,"Understanding concepts, Homework assistance, Project research, Assignments, Exam Preparation",1 to 3 hours,Satisfied,Very Helpful,"Yes, slight improvement",Confident,I used chatgpt to help me come up with ideas on how to plan with my marketing simulations.,Yes,Effective,Agree,"Better memory throughout all chats. Sometimes I ask a question related to what I've said before, yet it didn't remember the context",Agree,"Give better information, for visual - provide images or graphs to better explain something",Use it only if you have good understanding of a subject beforehand
Hospitality Management,Second,Postgraduate,Female,Asian,25-34,"Visual, Auditory",Yes,Weekly,"Understanding concepts, Homework assistance, Project research",Less than 1 hour,Neutral,Helpful,"Yes, slight improvement",Not confident,It explains further and helps you fully understand a certain topic,No,,Neutral,Give examples as well as explain in a way that some people will be able to understand it much better,Neutral,Categories for specific topic,
Marketing,Second,Postgraduate,Female,Asian,18-24,"Visual, Auditory",Yes,Weekly,"Understanding concepts, Homework assistance, Project research, Assignments, Class lecture and notes, Tutoring or extra help, Exam Preparation",3 to 5 hours,Neutral,Helpful,"Yes, slight improvement",Neutral,While doing case study problem during marketing 4ps concepts,No,Neutral,Agree,Don’t repeat same contents even though I give different questions,Agree,Ability to cope with numerical values output,First understand your self and then use it
Marketing,Second,Postgraduate,Male,Asian,18-24,"Visual, Auditory",Yes,Weekly,"Understanding concepts, Homework assistance, Project research, Assignments, Class lecture and notes, Tutoring or extra help, Exam Preparation",3 to 5 hours,Satisfied,Helpful,"Yes, significant improvement",Neutral,Understanding brand and brand value,Yes,Effective,Agree,Provide structure sentences,Disagree,Ability to insert multiple images at a time,Use wisely
Marketing,Second,Diploma,Male,Asian,18-24,"Visual, Auditory",Yes,Monthly,"Project research, Tutoring or extra help",More than 5 hours,Satisfied,Helpful,"Yes, slight improvement",Confident,To understand crm strategies,Yes,Neutral,Agree,Ability to study scenario properly,Disagree,Calculation of mathematical problems should be done correctly,It helps me during my crm case study exam to understand retention policies
Marketing,Second,Diploma,Male,Asian,18-24,"Visual, Auditory",Yes,Daily,"Understanding concepts, Project research, Assignments, Tutoring or extra help",1 to 3 hours,Neutral,Neutral,"Yes, slight improvement",Confident,To understand customer behaviour analysis,Yes,Neutral,Agree,Increase limitation on free versions,Neutral,Asking student first and then providing them answers after their response,Never use ChatGPT in case study because it provides overall scenario information rather than a valid one
Marketing,Second,Postgraduate,Male,Asian,18-24,"Visual, Auditory",Yes,Monthly,"Homework assistance, Project research, Assignments",3 to 5 hours,Neutral,Neutral,"Yes, significant improvement",Neutral,To understand customer segments during cluster analysis,Yes,Neutral,Agree,To stop generating repetitive responses for different questions,Disagree,More Quick response,"Make wise use of it , understand first before copy pasting it directly"
Marketing,Second,Postgraduate,Male,Asian,18-24,"Visual, Auditory",Yes,Daily,"Understanding concepts, Homework assistance, Project research, Assignments",1 to 3 hours,Neutral,Neutral,"Yes, slight improvement",Neutral,Getting insights for customer relationship management course,Yes,Neutral,Neutral,Better cope with statistics questions,Disagree,More better efficiency,Make sure to use it wisely during case study
Hospitality Management,Second,Postgraduate,Female,Asian,25-34,"Visual, Auditory",No,Never,,,,,,,,,,,,Neutral,,
Accounting,Second,Certificate,Female,Native American,55-64,"Visual, Auditory",No,Never,,,,,,,,,,,,Agree,,
Accounting,Second,Postgraduate,Prefer not to say,African,Prefer not to say,"Visual, Auditory, Reading/Writing",Yes,Rarely,Tutoring or extra help,Less than 1 hour,Neutral,Unhelpful,No change,Neutral,Helped with understanding complex concepts,Yes,Effective,Neutral,,Neutral,peer collaboration features,
Accounting,Fourth,Certificate,Female,White/Caucasian,18-24,"Visual, Auditory, Reading/Writing",Yes,Weekly,Understanding concepts,1 to 3 hours,Satisfied,Very Helpful,"Yes, slight improvement",Confident,,No,,Agree,Enhancing the summarization capabilities for educational materials,Agree,,
Accounting,Fourth,Diploma,Male,Prefer not to say,18-24,"Visual, Auditory, Reading/Writing",Yes,Rarely,"Understanding concepts, Assignments",Less than 1 hour,Neutral,Neutral,No change,Neutral,,Yes,Neutral,Neutral,,Neutral,,
Business,First,Postgraduate,Prefer not to say,Prefer not to say,Under 18,"Visual, Auditory, Reading/Writing",Yes,Daily,"Understanding concepts, Homework assistance, Project research, Assignments, Class lecture and notes, Tutoring or extra help, Exam Preparation",More than 5 hours,Satisfied,Very Helpful,"Yes, significant improvement",Very confident,,Yes,Very effective,Strongly Agree,Integrating with educational platforms,Strongly Agree,,
Business,Second,Postgraduate,Male,Prefer not to say,35-44,"Visual, Auditory, Reading/Writing, Kinesthetic, Usage Patterns",Yes,Weekly,"Understanding concepts, Homework assistance",1 to 3 hours,Satisfied,Very Helpful,"Yes, slight improvement",Very confident,,No,,Neutral,,Neutral,,
Business,Fourth,Bachelors,Male,Asian,35-44,"Visual, Kinesthetic",Yes,Weekly,"Understanding concepts, Project research, Assignments, Class lecture and notes, Exam Preparation",3 to 5 hours,Satisfied,Very Helpful,"Yes, significant improvement",Very confident,,Yes,Effective,Agree,Enhancing the summarization capabilities for educational materials,Strongly Agree,,
Business,Third,Bachelors,Prefer not to say,Pacific Islander,18-24,"Visual, Kinesthetic, Usage Patterns",Yes,Rarely,Understanding concepts,Less than 1 hour,Satisfied,Very Helpful,No change,Confident,,No,,Disagree,,Strongly Agree,interactive quizzes,
Business,First,Diploma,Female,Asian,55-64,"Visual, Reading/Writing",Yes,Rarely,Understanding concepts,Less than 1 hour,Dissatisfied,Unhelpful,Decrease in grades,Neutral,,No,,Strongly disagree,,Strongly Agree,peer collaboration features,
Business,First,Certificate,Female,Prefer not to say,18-24,"Visual, Reading/Writing",Yes,Weekly,"Understanding concepts, Assignments, Exam Preparation",1 to 3 hours,Neutral,Helpful,No change,Confident,,No,,Neutral,,Agree,adaptive learning algorithms,
Business,Fourth,Diploma,Female,White/Caucasian,18-24,"Visual, Reading/Writing",Yes,Daily,"Understanding concepts, Project research, Assignments, Class lecture and notes, Exam Preparation",3 to 5 hours,Satisfied,Very Helpful,"Yes, slight improvement",Confident,,Yes,Effective,Agree,,Strongly Agree,content recommendations based on learning style,
Business,Second,Certificate,Male,Asian,55-64,"Visual, Reading/Writing",No,Never,,,,,,,,,,,,Neutral,,
Business,Second,Bachelors,Female,White/Caucasian,25-34,"Visual, Reading/Writing",Yes,Daily,Understanding concepts,1 to 3 hours,Neutral,Helpful,No change,Confident,,No,,Neutral,Improving the search functionality for educational topics,Strongly Agree,,
Business,Second,Postgraduate,Male,Pacific Islander,25-34,"Visual, Reading/Writing",Yes,Monthly,"Understanding concepts, Assignments, Exam Preparation",1 to 3 hours,Neutral,Helpful,"Yes, slight improvement",Neutral,Suggested relevant research articles for a project,No,,Agree,Expanding the library of educational resources,Disagree,interactive quizzes,
Business,First,Bachelors,Female,Prefer not to say,Under 18,"Visual, Reading/Writing",Yes,Daily,"Understanding concepts, Homework assistance, Project research, Assignments, Class lecture and notes, Tutoring or extra help, Exam Preparation",More than 5 hours,Very satisfied,Very Helpful,"Yes, significant improvement",Very confident,,Yes,Very effective,Strongly Agree,Enhancing the summarization capabilities for educational materials,Strongly Agree,,
Business,Fourth,Certificate,Male,African,18-24,"Visual, Reading/Writing",Yes,Rarely,Homework assistance,Less than 1 hour,Neutral,Helpful,No change,Neutral,,No,,Strongly disagree,,Disagree,,
Business,Third,Certificate,Prefer not to say,Pacific Islander,25-34,"Visual, Reading/Writing",No,Never,,,,,,,,,,,,Strongly disagree,,
Business,First,Diploma,Prefer not to say,Prefer not to say,35-44,"Visual, Reading/Writing",Yes,Monthly,"Understanding concepts, Homework assistance",1 to 3 hours,Very satisfied,Helpful,"Yes, significant improvement",Confident,,No,,Strongly Agree,Enhancing the summarization capabilities for educational materials,Strongly Agree,,
Business,Second,Certificate,Male,White/Caucasian,Prefer not to say,"Visual, Reading/Writing",Yes,Never,Tutoring or extra help,More than 5 hours,Satisfied,Helpful,No change,Not applicable,Provided additional practice problems for math,Yes,Ineffective,Strongly Agree,Introducing personalized study plans,Disagree,,
Business,Second,Bachelors,Female,Asian,35-44,"Visual, Reading/Writing",Yes,Rarely,Project research,3 to 5 hours,Dissatisfied,Neutral,Decrease in grades,Confident,Assisted in learning a new programming language through explanations and examples,Yes,Effective,Neutral,Enhancing the feedback system for educational content,Strongly Agree,,
Business,Third,Diploma,Prefer not to say,Asian,18-24,"Visual, Reading/Writing",Yes,Monthly,Exam Preparation,3 to 5 hours,Dissatisfied,Very Helpful,Decrease in grades,Not applicable,Provided additional practice problems for math,Yes,Very effective,Disagree,Enhancing the summarization capabilities for educational materials,Neutral,,
Business,Third,Postgraduate,Female,Hispanic/Latino,Prefer not to say,"Visual, Reading/Writing, Usage Patterns",Yes,Daily,"Understanding concepts, Assignments, Class lecture and notes, Tutoring or extra help, Exam Preparation",More than 5 hours,Very satisfied,Very Helpful,"Yes, significant improvement",Very confident,,No,,Strongly Agree,Enhancing the feedback system for educational content,Strongly Agree,adaptive learning algorithms,I would recommend incorporating ChatGPT into educational settings to encourage critical thinking and collaboration.
Business,First,Diploma,Female,Pacific Islander,25-34,"Visual, Reading/Writing, Usage Patterns",Yes,Rarely,Homework assistance,Less than 1 hour,Satisfied,Helpful,No change,Very confident,,No,,Strongly disagree,Introducing personalized study plans,Neutral,peer collaboration features,I have had a positive experience using ChatGPT to explore new subjects and expand my knowledge base.
Business,Third,Postgraduate,Male,Hispanic/Latino,18-24,"Visual, Usage Patterns",No,Never,,,,,,,,,,,,Strongly disagree,,
